nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method
303,2498,0.05459751273140559,0.2917350366318607,35.16784478257556,303,0.05459751273140559,2.532620811750049,6,animali,naive_random_walk
303,378,0.008261753327650646,0.13530691897028532,3.8373732794524877,191,0.020611738771011297,4.718159272526867,9,animali,conceptual_network
303,376,0.008218040347081066,0.0049504950495049506,4.55784945035857,303,0.008218040347081066,5.2815334513583805,13,animali,pathfinder
303,903,0.01973641072716543,0.6751963438253274,8.026827854623427,303,0.01973641072716543,5.072060848468952,12,animali,correlation_based
303,147,0.00321290407186414,0.02383508063549752,1.8551963177809974,87,0.037957765303394814,3.8409516172146483,10,animali,first_edge
303,1828,0.039953664240596244,0.21413992360659206,25.345765309655576,303,0.039953664240596244,2.7962756540554716,8,animali,uinvite
46,405,0.391304347826087,0.723889691720569,23.883399590620794,45,0.4090909090909091,1.6272727272727272,3,frutta,naive_random_walk
46,38,0.03671497584541063,0.25,2.075,10,0.28888888888888886,2.088888888888889,4,frutta,conceptual_network
46,46,0.044444444444444446,0.0,3.3000000000000003,45,0.046464646464646465,3.985858585858586,8,frutta,pathfinder
46,132,0.12753623188405797,0.6599269088399523,7.022678649852562,46,0.12753623188405797,2.9632850241545894,7,frutta,correlation_based
46,80,0.07729468599033816,0.17904510947989208,5.157876121463078,29,0.19704433497536947,2.268472906403941,5,frutta,first_edge
46,223,0.21545893719806763,0.45589172400928035,15.328391728222122,46,0.21545893719806763,2.0705314009661837,4,frutta,uinvite
58,406,0.24561403508771928,0.5836787228744472,22.00176915589463,57,0.2543859649122807,1.9266917293233083,4,verdura,naive_random_walk
58,19,0.011494252873563218,0.1206896551724138,0.7413793103448276,6,0.4,2.066666666666667,4,verdura,conceptual_network
58,65,0.03932244404113733,0.0,4.580525078369906,57,0.040726817042606514,3.9523809523809526,8,verdura,pathfinder
58,168,0.10163339382940109,0.6275949146638802,7.107142857142858,58,0.10163339382940109,3.162734422262553,6,verdura,correlation_based
58,144,0.08711433756805807,0.2939304091754183,9.214145739066339,41,0.17560975609756097,2.1646341463414633,4,verdura,first_edge
58,322,0.19479733817301875,0.44024197239553703,18.09988814811435,58,0.19479733817301875,2.134301270417423,5,verdura,uinvite
